"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test Case:
All tab metadata (tabs, active tab, breadcrumbs)
is fully restored after page refresh

Objective:
Verify that after browser refresh:
- All tabs are restored
- Active tab remains the same
- Breadcrumbs are preserved
- Tab IDs/titles remain intact

Expected:
- Tabs A, B, C restored correctly
- Tab B remains active
- Breadcrumb restored correctly
","7296","test_tab_metadata_restored_after_refresh","tests.regression","2026-07-06","passed","2026-07-06","","test_TC_29_tab_metadata_after_refresh","",""
"","31792","test_all_filter_types","tests.regression","2026-07-06","broken","2026-07-06","","test_TC_18_all_filter_types","",""
"
Verify clicking an order record displays
order details in the right-hand pane.
","6745","test_verify_order_details_right_pane","tests.regression","2026-07-06","failed","2026-07-06","","test_TC_19","",""
"","6878","test_search_order_quick_action_activates_input","tests.regression","2026-07-06","passed","2026-07-06","","test_TC_17_search_order_quick_action","",""
"","10767","test_verify_quick_tasks","tests.regression","2026-07-06","failed","2026-07-06","","test_TC_51","",""
"
Test Case:
Tab order is reflected correctly in UI after multiple reorders

Objective:
Verify that:
- Multiple drag-and-drop reorder operations work correctly
- Tab bar always reflects latest logical order
- No tabs disappear or duplicate during reordering

Expected:
- UI order updates correctly after every drag
- All tabs remain visible
- No duplicate/missing tabs
","9366","test_multiple_tab_reorders_reflect_correct_ui_order","tests.regression","2026-07-06","passed","2026-07-06","","test_TC_09_multiple_tab_reorders","",""
"","8772","test_filter_icon_presence_and_control","tests.regression","2026-07-06","passed","2026-07-06","","test_TC_33_filter_icon_and_control","",""
"","10692","test_verify_order_summary","tests.regression","2026-07-06","failed","2026-07-06","","test_TC_49","",""
"","12481","test_verify_grand_total_calculation","tests.regression","2026-07-06","failed","2026-07-06","","test_TC_52","",""
"","13711","test_verify_note_save_with_optional_contact_details","tests.regression","2026-07-06","failed","2026-07-06","","test_TC_43","",""
"","6910","test_dropdown_filter_results","tests.regression","2026-07-06","passed","2026-07-06","","test_TC_46_dropdown_filter_results","",""
"","4167","test_multiple_draft_order_tabs","tests.regression","2026-07-06","passed","2026-07-06","","test_TC_31_multiple_draft_order_tabs","",""
"
Verify all major application routes render
the correct layout components.
","11139","test_all_defined_routes_render_correct_layout","tests.regression","2026-07-06","failed","2026-07-06","","test_TC_28_layout_routes_rendering","",""
"
Verify successful login and default application state.
","5753","test_login_with_valid_credentials","tests.regression","2026-07-06","passed","2026-07-06","","test_TC_01","",""
"","8985","test_global_reset_clears_all_filters","tests.regression","2026-07-06","passed","2026-07-06","","test_TC_40_global_reset_all","",""
