"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12123","test_search_order_quick_action_activates_input","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_17_search_order_quick_action","",""
"","14050","test_pagination_next_previous_behavior","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_37_pagination_navigation","",""
"","5517","test_dashboard_layout_navigation","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_28","",""
"
Verify only the Customer ID hyperlink navigates to
Customer Details.
","5110","test_customer_id_hyperlink_navigation","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_39","",""
"","11015","test_verify_preferred_node_distance_based_toggle","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_16","",""
"","8097","test_dropdown_filter_results","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_46_dropdown_filter_results","",""
"","11138","test_verify_grand_total_calculation","tests.regression","2026-07-10","broken","2026-07-10","","test_TC_52","",""
"
Verify clicking an order record displays
order details in the right-hand pane.
","7114","test_verify_order_details_right_pane","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_19","",""
"","13509","test_verify_quick_tasks","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_51","",""
"","4933","test_multiple_draft_order_tabs","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_58_31_multiple_draft_order_tabs","",""
"","7432","test_create_draft_order_opens_new_active_tab","tests.regression","2026-07-10","passed","2026-07-10","TestCreateDraftOrderTabManagement","test_TC_57_30_create_draft_order_new_tab","",""
"","7724","test_order_list_accessible_and_renders","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_44_order_list_access","",""
"
Verify user is successfully logged out after clicking Sign out.
","11306","test_signout_successfully","tests.regression","2026-07-10","passed","2026-07-10","","test_TC_02","",""
