"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10707","test_verify_quick_tasks","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_51","",""
"","10917","test_verify_preferred_node_distance_based_toggle","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_16","",""
"
Test Case:
TUU-T796 - Save Search – Unique Name / Blank Name / Special Characters

Objective:
Verify that:
1. User can save search with unique name
2. Blank search name validation appears
3. Special character validation works correctly

Expected:
1. New tab saved successfully
2. Validation shown for blank name
3. Validation shown or special chars sanitized
","35981","test_save_search_validations","tests.regression","2026-07-08","broken","2026-07-08","","test_TC_25_save_search_validations","",""
"","10062","test_multiple_column_filters_or_logic","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_34_multiple_filters_or_logic","",""
"
Verify designated customer fields are read-only.
","8491","test_verify_read_only_fields_customer_detail","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_04","",""
"
Verify user is successfully logged out after clicking Sign out.
","10092","test_signout_successfully","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_02","",""
"","8387","test_create_draft_order_opens_new_active_tab","tests.regression","2026-07-08","passed","2026-07-08","TestCreateDraftOrderTabManagement","test_TC_30_create_draft_order_new_tab","",""
"","21907","test_add_new_credit_card","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_22","",""
"","22366","test_on_account_checkout","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_21","",""
"
Verify Customer List accessibility through:
1. Sidebar navigation
2. Quick Actions

Verify all mandatory columns are visible and
Customer ID is clickable.
","7238","test_customer_list_accessible_via_sidebar_and_quick_search","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_38","",""
"
Test Case:
All tab metadata (tabs, active tab, breadcrumbs)
is fully restored after page refresh

Objective:
Verify that after browser refresh:
- All tabs are restored
- Active tab remains the same
- Breadcrumbs are preserved
- Tab IDs/titles remain intact

Expected:
- Tabs A, B, C restored correctly
- Tab B remains active
- Breadcrumb restored correctly
","9837","test_tab_metadata_restored_after_refresh","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_29_tab_metadata_after_refresh","",""
"","6845","test_order_list_accessible_and_renders","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_44_order_list_access","",""
"","12801","test_manage_customer_contacts","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_06","",""
"","7694","test_dropdown_filter_results","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_46_dropdown_filter_results","",""
"
Verify order number in the list is clickable and opens
the corresponding order detail page.
","7788","test_verify_order_number_hyperlink","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_20","",""
"
Verify route protection and authentication-based
redirection behavior.
","5709","test_auth_route_redirection","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_27_auth_route_redirection","",""
