"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test Case:
All tab metadata (tabs, active tab, breadcrumbs)
is fully restored after page refresh

Objective:
Verify that after browser refresh:
- All tabs are restored
- Active tab remains the same
- Breadcrumbs are preserved
- Tab IDs/titles remain intact

Expected:
- Tabs A, B, C restored correctly
- Tab B remains active
- Breadcrumb restored correctly
","6848","test_tab_metadata_restored_after_refresh","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_56_29_tab_metadata_after_refresh","",""
"","36416","test_verify_grand_total_calculation","tests.regression","2026-07-13","broken","2026-07-13","","test_TC_52","",""
"
Test Case:
TUU-T796 - Save Search – Unique Name / Blank Name / Special Characters

Objective:
Verify that:
1. User can save search with unique name
2. Blank search name validation appears
3. Special character validation works correctly

Expected:
1. New tab saved successfully
2. Validation shown for blank name
3. Validation shown or special chars sanitized
","16077","test_save_search_validations","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_25_save_search_validations","",""
"","31037","test_verify_order_notes_unique_per_order","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_41","",""
"","8598","test_global_reset_clears_all_filters","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_40_global_reset_all","",""
"","7455","test_create_draft_order_opens_new_active_tab","tests.regression","2026-07-13","passed","2026-07-13","TestCreateDraftOrderTabManagement","test_TC_57_30_create_draft_order_new_tab","",""
"
Test Case:
TUU-T793 - Saved Search Tab Applies Filters & Updates Table

Objective:
Verify that:
- Clicking a saved search tab applies filters
- Table data updates correctly
- Filter state is reflected in the UI

Expected:
- Filters applied instantly
- Table updates based on saved search criteria
","12432","test_saved_search_tab_applies_filters_updates_table","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_26","",""
"
Verify searching an order by Order ID displays the
correct search result and opens the correct order.
","6631","test_verify_search_order_by_order_id","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_14","",""
"","6954","test_dropdown_filter_results","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_46_dropdown_filter_results","",""
"","19301","test_all_filter_types","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_18_all_filter_types","",""
"","13245","test_pagination_next_previous_behavior","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_37_pagination_navigation","",""
"","17441","test_verify_note_save_with_optional_contact_details","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_43","",""
"","11782","test_verify_quick_tasks","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_51","",""
"
Verify user is successfully logged out after clicking Sign out.
","10332","test_signout_successfully","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_02","",""
"","11183","test_verify_order_summary","tests.regression","2026-07-13","failed","2026-07-13","","test_TC_49","",""
"
Verify clicking an order search suggestion navigates
to the correct order detail page.
","7674","test_verify_order_search_suggestion_navigation","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_15","",""
"
Test Case:
Tab order is reflected correctly in UI after multiple reorders

Objective:
Verify that:
- Multiple drag-and-drop reorder operations work correctly
- Tab bar always reflects latest logical order
- No tabs disappear or duplicate during reordering

Expected:
- UI order updates correctly after every drag
- All tabs remain visible
- No duplicate/missing tabs
","9022","test_multiple_tab_reorders_reflect_correct_ui_order","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_53_09_multiple_tab_reorders","",""
"
Verify designated customer fields are read-only.
","8137","test_verify_read_only_fields_customer_detail","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_04","",""
"","8774","test_filter_clear_and_empty_state","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_45_filter_clear_and_empty_state","",""
"
Verify user can search for a customer and open the
Customer Detail screen.
","15224","test_search_customer_and_open_customer_detail","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_03","",""
"","7115","test_filter_icon_presence_and_control","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_33_filter_icon_and_control","",""
