"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6914","test_dropdown_filter_results","tests.regression","2026-07-09","passed","2026-07-09","","test_TC_46_dropdown_filter_results","",""
"
Test Case:
Switching tabs updates breadcrumb
to match the newly active tab

Objective:
Verify that:
- Each tab maintains independent breadcrumb state
- Switching tabs updates breadcrumb immediately
- Breadcrumb matches active tab context

Expected:
- Tab A shows breadcrumb: Home > A
- Tab B shows breadcrumb: Home > B
- Breadcrumb updates correctly on tab switch
","5385","test_breadcrumb_updates_on_tab_switch","tests.regression","2026-07-09","passed","2026-07-09","","test_TC_55_11_breadcrumb_updates_on_tab_switch","",""
"","10963","test_verify_order_notes_unique_per_order","tests.regression","2026-07-09","failed","2026-07-09","","test_TC_41","",""
"","10213","test_verify_order_summary","tests.regression","2026-07-09","failed","2026-07-09","","test_TC_49","",""
"
Verify searching an order by Order ID displays the
correct search result and opens the correct order.
","9104","test_verify_search_order_by_order_id","tests.regression","2026-07-09","passed","2026-07-09","","test_TC_14","",""
"","4260","test_close_active_tab_fallback","tests.regression","2026-07-09","passed","2026-07-09","","test_TC_32","",""
"","19060","test_add_new_credit_card","tests.regression","2026-07-09","failed","2026-07-09","","test_TC_22","",""
"","5284","test_search_order_quick_action_activates_input","tests.regression","2026-07-09","passed","2026-07-09","","test_TC_17_search_order_quick_action","",""
"","9814","test_verify_preferred_node_distance_based_toggle","tests.regression","2026-07-09","passed","2026-07-09","","test_TC_16","",""
"","13076","test_manage_customer_contacts","tests.regression","2026-07-09","failed","2026-07-09","","test_TC_06","",""
"","8071","test_filter_clear_and_empty_state","tests.regression","2026-07-09","passed","2026-07-09","","test_TC_45_filter_clear_and_empty_state","",""
"
Verify only the Customer ID hyperlink navigates to
Customer Details.
","5360","test_customer_id_hyperlink_navigation","tests.regression","2026-07-09","passed","2026-07-09","","test_TC_39","",""
